user_id,module_id,user_skill,words_on_slide,time_on_task_sec,interaction_rate,completed,test_score,pre_assessment_score,sim_completed,sim_time_on_task,baseline_retention,sim_retention
0,1,0.354,452,158.8,3,0,,0.40367141530112327,1,142.92000000000002,,
0,2,0.354,317,111.4,5,1,0.286,0.3401735698828815,1,100.26,0.0572,0.21449999999999997
0,3,0.354,396,139.2,2,1,0.475,0.41876885381006923,1,125.27999999999999,0.095,0.35624999999999996
0,4,0.354,495,174.0,4,0,,0.5063029856408026,1,156.6,,
0,5,0.354,229,80.5,4,1,0.564,0.3305846625276664,1,80.5,0.1128,0.42299999999999993
0,6,0.354,232,81.5,2,1,0.421,0.3305863043050819,1,81.5,0.0842,0.31575
0,7,0.354,578,203.1,4,0,,0.5119212815507391,1,182.79,,
0,8,0.354,457,160.6,4,0,,0.43074347291529086,1,144.54,,
1,1,0.249,280,112.2,4,1,0.491,0.2020525614065048,1,112.2,0.09820000000000001,0.36824999999999997
1,2,0.249,286,114.6,6,1,0.386,0.30325600435859645,1,114.6,0.0772,0.2895
1,3,0.249,224,89.8,5,0,,0.20265823071875377,0,89.8,,
1,4,0.249,302,121.0,7,1,0.386,0.2024270246429743,1,108.9,0.0772,0.2895
1,5,0.249,550,220.4,2,0,,0.2731962271566034,1,198.36,,
1,6,0.249,557,223.2,2,0,,0.05767197553422021,1,200.88,,
1,7,0.249,109,43.7,8,1,0.484,0.0765082167486967,1,43.7,0.0968,0.363
1,8,0.249,354,141.9,2,1,0.409,0.19277124707590274,1,127.71000000000001,0.0818,0.30674999999999997
2,1,0.416,535,175.2,10,0,,0.3147168879665576,0,157.68,,
2,2,0.416,298,97.6,5,1,0.484,0.44742473325952736,1,97.6,0.0968,0.363
2,3,0.416,130,42.6,8,1,0.436,0.3251975924478789,1,42.6,0.0872,0.327
2,4,0.416,201,65.8,4,1,0.506,0.2747696298664708,1,65.8,0.10120000000000001,0.3795
2,5,0.416,315,103.2,9,1,0.596,0.5625648768921554,1,92.88000000000001,0.1192,0.44699999999999995
2,6,0.416,186,60.9,4,1,0.669,0.3934223699513464,1,60.9,0.1338,0.50175
2,7,0.416,165,54.0,6,1,0.485,0.42275282046879237,1,54.0,0.097,0.36375
2,8,0.416,336,110.0,4,1,0.526,0.27352518137865434,1,99.0,0.10520000000000002,0.3945
3,1,0.16,509,231.4,1,0,,0.10556172754748173,1,208.26000000000002,,
3,2,0.16,123,55.9,4,1,0.414,0.17109225897098662,1,55.9,0.0828,0.3105
3,3,0.16,434,197.3,4,0,,0.04490064225776971,0,177.57000000000002,,
3,4,0.16,396,180.0,4,0,,0.1975698018345672,1,162.0,,
